day,venue,neighborhood,time,title,desc,category
Monday,Sully’s Irish Pub,West Des Moines,All day Monday,$12 apps plus drink specials,"$12 apps including wings and chicken shots, plus $3 domestics or wells and $4 seltzers.",Food and drink special
Monday,Angry Goldfish,South Side / Des Moines,All day Monday,Half off bottles of wine,Half price bottles of wine all day Monday.,Drink special
Monday,The Stuffed Olive,Court District / Des Moines,4 PM to 12 AM,BOGO martinis,Buy one martini and get one free all Monday night.,Drink special
Monday,Centro,Downtown / Des Moines,5 PM to close,Half price pizza and Peroni,Half price pizza and Peroni on Monday evening.,Food and drink special
Monday,Barn Town Brewing,West Des Moines,All day Monday,"Burger, fries, and pint for $13.99","Burger, fries, and a pint for $13.99 on Monday.",Food and drink special
Monday,Fresko,Downtown / Des Moines,After 5 PM,$5 Fresko mules,Fresko mule for $5 on Monday.,Drink special
Monday,Ceviche Bar,East Village / Des Moines,11 AM to 10 PM,$8 Cubanos,Cuban sandwiches for $8 on Monday.,Food special
Monday,The Dam Pub,Beaverdale / Des Moines,All day Monday,Half price pizza and $1 off draft beer,Half price pizza plus $1 off pints and mugs of draft beer on Monday.,Food and drink special
Monday,Up Down Arcade Bar,East Village / Des Moines,5 PM to 2 AM,$1 off draft beer,Monday night draft beer special with a late window.,Late night drink special
Monday,Kelly’s Little Nipper,East Side / Des Moines,All day Monday,$8 grinders and $3.50 margaritas,"$8 grinders with a side, plus $3.50 margaritas on Monday.",Food and drink special
Monday,The Station on Ingersoll,Ingersoll / Des Moines,All day Monday,$12 Graziano grinder,Graziano sausage grinder for $12 on Monday.,Food special
Monday,Lucky Horse,Drake / Des Moines,All day Monday,$10 burgers and $5 SingleSpeed mugs,All burgers for $10 and SingleSpeed mugs of beer for $5 on Monday.,Food and drink special
Monday,District 36,Ankeny,Monday dinner,$60 dinner for two,"Two entrees, soup or salad, a bottle of wine, and a shared dessert for $60.",Dinner special
Monday,Chuck’s,Des Moines,Monday special,Three appetizers for $25,Pick three appetizers for $25 on Monday.,Food special
Monday,Bubba,Downtown / Des Moines,Monday night,$20 sirloin dinner,Monday night sirloin dinner special for $20.,Dinner special
Monday,Chicago Speakeasy,Des Moines,Monday special,Prime rib Monday,Monday prime rib special.,Dinner special
Monday,Christopher’s,Beaverdale / Des Moines,Monday special,Prime rib Monday,Monday prime rib special.,Dinner special
Monday,Trostel’s Greenbriar,Johnston,Monday special,"Burger, side, and beer for $14",Monday burger deal with a side and beer for $14.,Food and drink special
Monday,Beaver Tap,Des Moines,Monday specials,"Omelets, hot beef, and Mexican bowls",$8 omelets and $10 hot beef sandwiches or Mexican bowls on Monday.,Food special
Monday,G Mig’s,Valley Junction / West Des Moines,Monday special,$11 smashburger with side,Smashburger with a side for $11 on Monday.,Food special
Monday,The Continental,East Village / Des Moines,Monday special,Double smash burger and fries for $12,Double smash burger with shoestring fries for $12.,Food special
Monday,Eastside Eddie’s,East Side / Des Moines,Monday special,Burger and drink for $10,"Burger with a domestic beer, soft drink, or well drink for $10.",Food and drink special
Monday,Pelican Post,West Des Moines,All day Monday,Hot beef sandwich for $10.95,Monday hot beef sandwich special for $10.95 all day.,Food special
Monday,Tito’s Lounge,Urbandale,Monday special,All you can eat wings,All you can eat wings on Monday.,Food special
Monday,Johnny’s Hall of Fame,Court Avenue / Des Moines,Monday special,$12 burger baskets,Burger basket for $12 on Monday.,Food special
Monday,Urban Cellars,West Des Moines,Monday dinner,$60 wine dinner for two,"Two entrees, soup or salad, dessert, and a bottle of wine for $60.",Dinner special
Monday,Club 2000,South Side / Des Moines,Monday special,Burger basket with fries for $9,Burger basket with fries for $9 on Monday.,Food special
